,Name  ↓,Type  ↓,Strain  ↓,Style  ↓
1048,WLP320 Wheat Ale 87 07 NA,Beer,WLP320,Wheat Ale
1049,WLP380 Wheat Ale 87 08 NA,Beer,WLP380,Wheat Ale
1050,WLP001 American IPA 89 09 NA,Beer,WLP001,American IPA
1051,WLP008 American IPA 89 10 NA,Beer,WLP008,American IPA
1052,WLP011 American IPA 89 11 NA,Beer,WLP011,American IPA
1053,WLP073 Belgian Ale 90 13 NA,Beer,WLP073,Belgian Ale
1054,WLP510 Belgian Ale 90 14 NA,Beer,WLP510,Belgian Ale
1055,WLP515 Belgian Ale 90 15 NA,Beer,WLP515,Belgian Ale
1056,WLP590 Belgian Ale 90 16 NA,Beer,WLP590,Belgian Ale
1057,WLP004 Porter 91 05 NA,Beer,WLP004,Porter
1058,WLP007 Porter 91 06 NA,Beer,WLP007,Porter
1059,WLP028 Porter 91 07 NA,Beer,WLP028,Porter
1060,WLP029 Porter 91 08 NA,Beer,WLP029,Porter
1061,WLP001 American Pale Ale 92 01 NA,Beer,WLP001,American Pale Ale
1062,WLP051 American Pale Ale 92 02 NA,Beer,WLP051,American Pale Ale
1063,WLP500 Quadrupel 93 03 NA,Beer,WLP500,Quadrupel
1064,WLP530 Quadrupel 93 04 NA,Beer,WLP530,Quadrupel
1065,WLP005 Stout 94 15 NA,Beer,WLP005,Stout
1066,WLP013 Stout 94 16 NA,Beer,WLP013,Stout
1067,WLP860 Helles 95 13 NA,Beer,WLP860,Helles
1068,WLP940 Helles 95 14 NA,Beer,WLP940,Helles
1069,WLP090 American IPA 96 07 NA,Beer,WLP090,American IPA
1070,WLP041 American IPA 96 08 NA,Beer,WLP041,American IPA
1071,WLP013 ESB-Best Bitters 98 01 NA,Beer,WLP013,ESB-Best Bitters
1072,WLP085 ESB-Best Bitters 98 02 NA,Beer,WLP085,ESB-Best Bitters
1073,WLP815 Pilsner 99 04 NA,Beer,WLP815,Pilsner
1074,IBU Case Study 1.docx,Recipe,,IBU Case
1075,WLP565 Saison 101 15 NA,Beer,WLP565,Saison
1076,WLP568 Saison 101 16 NA,Beer,WLP568,Saison
1077,WLP001 American IPA 102 05 NA,Beer,WLP001,American IPA
1078,WLP008 American IPA 102 06 NA,Beer,WLP008,American IPA
1079,WLP066 American IPA 102 07 NA,Beer,WLP066,American IPA
1080,WLP644 American IPA 102 08 NA,Beer,WLP644,American IPA
1081,WLP060 Wheat Ale 103 09 NA,Beer,WLP060,Wheat Ale
1082,WLP300 Wheat Ale 103 10 NA,Beer,WLP300,Wheat Ale
1083,WLP320 Wheat Ale 103 11 NA,Beer,WLP320,Wheat Ale
1084,WLP380 Wheat Ale 103 12 NA,Beer,WLP380,Wheat Ale
1085,WLP001 American IPA 104 01 NA,Beer,WLP001,American IPA
1086,WLP590 American IPA 104 02 NA,Beer,WLP590,American IPA
1087,WLP001 American Pale Ale 105 13 NA,Beer,WLP001,American Pale Ale
1088,WLP051 American Pale Ale 105 14 NA,Beer,WLP051,American Pale Ale
1089,WLP008 American IPA 107 03 NA,Beer,WLP008,American IPA
1090,WLP067 American IPA 107 04 NA,Beer,WLP067,American IPA
1091,WLP001 American IPA 108 05 NA,Beer,WLP001,American IPA
1092,WLP008 American IPA 108 06 NA,Beer,WLP008,American IPA
1093,WLP090 American IPA 108 07 NA,Beer,WLP090,American IPA
1094,WLP515 American IPA 108 08 NA,Beer,WLP515,American IPA
1095,WLP840 Lager 109 01 NA,Beer,WLP840,Lager
1096,WLP940 Lager 109 02 NA,Beer,WLP940,Lager
1097,WLP041 American Blonde Ale 110 13 NA,Beer,WLP041,American Blonde Ale
1098,WLP080 American Blonde Ale 110 14 NA,Beer,WLP080,American Blonde Ale
1099,WLP500 Tripel 111 03 NA,Beer,WLP500,Tripel
1100,WLP570 Tripel 111 04 NA,Beer,WLP570,Tripel
1101,WLP830 Pilsner 112 15 NA,Beer,WLP830,Pilsner
1102,WLP840 Pilsner 112 16 NA,Beer,WLP840,Pilsner
1103,WLP001 American IPA 113 05 NA,Beer,WLP001,American IPA
1104,WLP008 American IPA 113 06 NA,Beer,WLP008,American IPA
1105,WLP090 American IPA 113 07 NA,Beer,WLP090,American IPA
1106,WLP095 American IPA 113 08 NA,Beer,WLP095,American IPA
1107,WLP008 American IPA 115 12 NA,Beer,WLP008,American IPA
1108,WLP008 American IPA 116 14 NA,Beer,WLP008,American IPA
1109,WLP830 Pilsner 117 06 NA,Beer,WLP830,Pilsner
1110,WLP004 Porter 119 01 NA,Beer,WLP004,Porter
1111,WLP007 Porter 119 02 NA,Beer,WLP007,Porter
1112,WLP060 Porter 119 03 NA,Beer,WLP060,Porter
1113,WLP810 Porter 119 04 NA,Beer,WLP810,Porter
1114,WLP300 Wheat Ale 120 09 NA,Beer,WLP300,Wheat Ale
1115,WLP351 Wheat Ale 120 10 NA,Beer,WLP351,Wheat Ale
1116,WLP380 Wheat Ale 120 11 NA,Beer,WLP380,Wheat Ale
1117,WLP410 Wheat Ale 120 12 NA,Beer,WLP410,Wheat Ale
1118,WLP008 American IPA 121 14 NA,Beer,WLP008,American IPA
1119,WLP041 American IPA 121 15 NA,Beer,WLP041,American IPA
1120,WLP095 American IPA 121 16 NA,Beer,WLP095,American IPA
1121,WLP041 American Red 122 10 NA,Beer,WLP041,American Red
1122,WLP041 Am. Red 122 10 NA,Beer,WLP041,Am. Red
1123,WLP565 Saison 123 11 NA,Beer,WLP565,Saison
1124,BLEND Saison 123 12 NA,Beer,BLEND,Saison
1125,WLP001 Double IPA 124 01 NA,Beer,WLP001,Double IPA
1126,WLP095 Double IPA 124 02 NA,Beer,WLP095,Double IPA
1127,WLP001 American Pale Ale 125 03 NA,Beer,WLP001,American Pale Ale
1128,WLP001 American Pale Ale 125 04 NA,Beer,WLP001,American Pale Ale
1129,WLP029 Bavarian Dark Lager 126 05 NA,Beer,WLP029,Bavarian Dark Lager
1130,WLP830 Bavarian Dark Lager 126 06 NA,Beer,WLP830,Bavarian Dark Lager
1131,WLP001 Stout 127 07 NA,Beer,WLP001,Stout
1132,WLP013 Stout 127 08 NA,Beer,WLP013,Stout
1133,WLP009 Wheat Ale 128 15 NA,Beer,WLP009,Wheat Ale
1134,WLP051 Wheat Ale 128 16 NA,Beer,WLP051,Wheat Ale
1135,WLP001 American IPA 129 01 NA,Beer,WLP001,American IPA
1136,WLP090 American IPA 129 02 NA,Beer,WLP090,American IPA
1137,WLP001 American Lager 130 09 NA,Beer,WLP001,American Lager
1138,WLP008 American Lager 130 10 NA,Beer,WLP008,American Lager
1139,WLP066 American IPA 132 03 NA,Beer,WLP066,American IPA
1140,WLP067 American IPA 132 04 NA,Beer,WLP067,American IPA
1141,WLP300 Wheat Ale 133 13 NA,Beer,WLP300,Wheat Ale
1142,WLP380 Wheat Ale 133 14 NA,Beer,WLP380,Wheat Ale
1143,WLP802 Pilsner 134 07 NA,Beer,WLP802,Pilsner
1144,WLP830 Pilsner 134 08 NA,Beer,WLP830,Pilsner
1145,WLP006 American Brown Ale 135 01 NA,Beer,WLP006,American Brown Ale
1146,WLP033 American Brown Ale 135 02 NA,Beer,WLP033,American Brown Ale
1147,WLP004 Porter 136 03 NA,Beer,WLP004,Porter
1148,WLP810 Porter 136 04 NA,Beer,WLP810,Porter
1149,WLP001 Other 137 03 NA,Beer,WLP001,Other
1150,WLP590 Other 137 04 NA,Beer,WLP590,Other
1151,WLP001 American IPA 138 01 NA,Beer,WLP001,American IPA
1152,WLP833 Bock 139 05 NA,Beer,WLP833,Bock
1153,WLP920 Bock 139 06 NA,Beer,WLP920,Bock
1154,WLP003 Altbier 140 07 NA,Beer,WLP003,Altbier
1155,WLP036 Altbier 140 08 NA,Beer,WLP036,Altbier
1156,WLP008 Hazy-Juicy IPA 141 09 NA,Beer,WLP008,Hazy-Juicy IPA
1157,WLP066 Hazy-Juicy IPA 141 10 NA,Beer,WLP066,Hazy-Juicy IPA
1158,WLP023 Rye Beer 142 11 NA,Beer,WLP023,Rye Beer
1159,WLP090 Rye Beer 142 12 NA,Beer,WLP090,Rye Beer
1160,WLP001 Other 143 03 NA,Beer,WLP001,Other
1161,WLP008 Other 143 04 NA,Beer,WLP008,Other
1162,WLP300 Wheat Ale 144 11 NA,Beer,WLP300,Wheat Ale
1163,WLP380 Wheat Ale 144 12 NA,Beer,WLP380,Wheat Ale
1164,WLP001 American IPA 145 15 NA,Beer,WLP001,American IPA
1165,WLP090 American IPA 145 16 NA,Beer,WLP090,American IPA
1166,WLP830 California Common 150 10 BS,Beer,WLP830,California Common
1167,WLP001 California Common 150 11 BS,Beer,WLP001,California Common
1168,WLP830 California Common 150 12 BS,Beer,WLP830,California Common
1169,WLP051 California Common 150 13 BS,Beer,WLP051,California Common
1170,WLP051 California Common 150 14 BS,Beer,WLP051,California Common
1171,WLP001 American IPA 152 10 BS,Beer,WLP001,American IPA
1172,WLP550 Stout 153 10 BS,Beer,WLP550,Stout
1173,WLP037 Stout 153 11 BS,Beer,WLP037,Stout
1174,WLP004 Stout 153 12 BS,Beer,WLP004,Stout
1175,WLP001 Am. Amber 154 01 BS,Beer,WLP001,Am. Amber
1176,WLP013 Am. Amber 154 02 BS,Beer,WLP013,Am. Amber
1177,WLP007 Am. Amber 154 03 BS,Beer,WLP007,Am. Amber
1178,WLP090 Am. Amber 154 04 BS,Beer,WLP090,Am. Amber
1179,WLP041 Am. Amber 154 05 BS,Beer,WLP041,Am. Amber
1180,WLP060 Am. Amber 154 06 BS,Beer,WLP060,Am. Amber
1181,WLP008 Am. Amber 154 07 BS,Beer,WLP008,Am. Amber
1182,WLP051 Am. Amber 154 08 BS,Beer,WLP051,Am. Amber
1183,WLP004 Am. Amber 154 09 BS,Beer,WLP004,Am. Amber
1184,WLP004 Am. Amber 154 09 BS,Analysis,WLP004,Am. Amber
1185,WLP008 Am. Amber 154 10 BS,Beer,WLP008,Am. Amber
1186,WLP002 Am. Amber 154 11 BS,Beer,WLP002,Am. Amber
1187,WLP037 Am. Amber 154 12 BS,Beer,WLP037,Am. Amber
1188,WLP023 Am. Amber 154 13 BS,Beer,WLP023,Am. Amber
1189,WLP023 Am. Amber 154 13 BS,Analysis,WLP023,Am. Amber
1190,WLP028 Am. Amber 154 14 BS,Beer,WLP028,Am. Amber
1191,WLP300 Hefeweizen 155 01 BS,Analysis,WLP300,Hefeweizen
1192,WLP300 Hefeweizen 155 01 BS,Beer,WLP300,Hefeweizen
1193,WLP300 Hefeweizen 155 03 BS,Beer,WLP300,Hefeweizen
1194,WLP300 Hefeweizen 155 05 BS,Analysis,WLP300,Hefeweizen
1195,WLP300 Hefeweizen 155 05 BS,Beer,WLP300,Hefeweizen
1196,WLP380 Hefeweizen 155 07 BS,Beer,WLP380,Hefeweizen
1197,WLP380 Hefeweizen 155 08 BS,Beer,WLP380,Hefeweizen
1198,WLP300 Hefeweizen 155 09 BS,Beer,WLP300,Hefeweizen
1199,WLP300 Hefeweizen 155 09 BS,Analysis,WLP300,Hefeweizen
1200,WLP351 Hefeweizen 155 11 BS,Beer,WLP351,Hefeweizen
1201,WLP351 Hefeweizen 155 12 BS,Beer,WLP351,Hefeweizen
1202,WLP028 American IPA 156 01 BS,Beer,WLP028,American IPA
1203,WLP028 American IPA 156 01 BS,Analysis,WLP028,American IPA
1204,WLP001 American IPA 156 02 BS,Beer,WLP001,American IPA
1205,WLP002 American IPA 156 03 BS,Beer,WLP002,American IPA
1206,WLP008 American IPA 156 04 BS,Beer,WLP008,American IPA
1207,WLP023 American IPA 156 05 BS,Analysis,WLP023,American IPA
1208,WLP023 American IPA 156 05 BS,Beer,WLP023,American IPA
1209,WLP051 American IPA 156 06 BS,Beer,WLP051,American IPA
1210,WLP090 American IPA 156 07 BS,Beer,WLP090,American IPA
1211,WLP001 American Pale Ale 157 01 BS,Beer,WLP001,American Pale Ale
1212,WLP005 American Pale Ale 157 02 BS,Beer,WLP005,American Pale Ale
1213,WLP566 Saison 160 01 BS,Beer,WLP566,Saison
1214,WLP815 Saison 160 03 BS,Beer,WLP815,Saison
1215,WLP380 Saison 160 04 BS,Beer,WLP380,Saison
1216,WLP510 Belgian Ale 161 01 BS,Beer,WLP510,Belgian Ale
1217,WLP545 Belgian Ale 161 02 BS,Beer,WLP545,Belgian Ale
1218,WLP500 Belgian Ale 161 03 BS,Beer,WLP500,Belgian Ale
1219,WLP001 Belgian Ale 161 04 BS,Beer,WLP001,Belgian Ale
1220,WLP510 Belgian Ale 161 05 BS,Beer,WLP510,Belgian Ale
1221,WLP545 Belgian Ale 161 06 BS,Beer,WLP545,Belgian Ale
1222,WLP500 Belgian Ale 161 07 BS,Beer,WLP500,Belgian Ale
1223,WLP001 Belgian Ale 161 08 BS,Beer,WLP001,Belgian Ale
1224,WLP500 Belgian Ale 161 09 BS,Beer,WLP500,Belgian Ale
1225,WLP545 Belgian Ale 161 10 BS,Beer,WLP545,Belgian Ale
1226,WLP007 Porter 162 01 BS,Beer,WLP007,Porter
1227,WLP004 Porter 162 02 BS,Beer,WLP004,Porter
1228,WLP011 Porter 162 03 BS,Beer,WLP011,Porter
1229,WLP001 Porter 162 04 BS,Beer,WLP001,Porter
1230,WLP400 Hefeweizen 162 07 BS,Beer,WLP400,Hefeweizen
1231,WLP300 Hefeweizen 163 01 BS,Beer,WLP300,Hefeweizen
1232,WLP320 Hefeweizen 163 02 BS,Beer,WLP320,Hefeweizen
1233,WLP380 Hefeweizen 163 03 BS,Beer,WLP380,Hefeweizen
1234,WLP380 Hefeweizen 163 04 BS,Beer,WLP380,Hefeweizen
1235,WLP380 Hefeweizen 163 05 BS,Beer,WLP380,Hefeweizen
1236,WLP400 Hefeweizen 163 07 BS,Beer,WLP400,Hefeweizen
1237,WLP004 Am. Red 165 01 BS,Beer,WLP004,Am. Red
1238,WLP009 Rye Beer 165 01 BS,Beer,WLP009,Rye Beer
1239,0 Am. Red 165 04 BS,Beer,,Am. Red
1240,0 Am. Red 165 05 BS,Beer,,Am. Red
1241,0 Am. Red 165 06 BS,Beer,,Am. Red
1242,WLP028 Rye Beer 165 06 BS,Beer,WLP028,Rye Beer
1243,WLP060 Rye Beer 165 07 BS,Beer,WLP060,Rye Beer
1244,WLP036 Dusseldorf Alt 166 01 BS,Beer,WLP036,Dusseldorf Alt
1245,WLP564 Saison 166 01 BS,Beer,WLP564,Saison
1246,WLP011 Dusseldorf Alt 166 02 BS,Beer,WLP011,Dusseldorf Alt
1247,WLP027 Dusseldorf Alt 166 03 BS,Beer,WLP027,Dusseldorf Alt
1248,WLP568 Dusseldorf Alt 166 04 BS,Beer,WLP568,Dusseldorf Alt
1249,WLP004 American IPA 167 01 BS,Beer,WLP004,American IPA
1250,WLP005 American IPA 167 02 BS,Beer,WLP005,American IPA
1251,WLP006 American IPA 167 03 BS,Beer,WLP006,American IPA
1252,BLEND American IPA 167 04 BS,Beer,BLEND,American IPA
1253,BLEND American IPA 167 05 BS,Beer,BLEND,American IPA
1254,BLEND American IPA 167 06 BS,Beer,BLEND,American IPA
1255,WLP004 American IPA 167 07 BS,Beer,WLP004,American IPA
1256,WLP005 American IPA 167 08 BS,Beer,WLP005,American IPA
1257,WLP006 American IPA 167 09 BS,Beer,WLP006,American IPA
1258,BLEND American IPA 167 10 BS,Beer,BLEND,American IPA
1259,BLEND American IPA 167 11 BS,Beer,BLEND,American IPA
1260,BLEND American IPA 167 12 BS,Beer,BLEND,American IPA
1261,WLP004 American IPA 168 01 BS,Beer,WLP004,American IPA
1262,WLP036 Other 168 01 BS,Beer,WLP036,Other
1263,WLP005 American IPA 168 02 BS,Beer,WLP005,American IPA
1264,WLP011 Other 168 02 BS,Beer,WLP011,Other
1265,WLP006 American IPA 168 03 BS,Beer,WLP006,American IPA
1266,WLP027 Other 168 03 BS,Beer,WLP027,Other
1267,BLEND American IPA 168 04 BS,Beer,BLEND,American IPA
1268,BLEND American IPA 168 05 BS,Beer,BLEND,American IPA
1269,BLEND American IPA 168 06 BS,Beer,BLEND,American IPA
1270,BLEND American IPA 168 07 BS,Beer,BLEND,American IPA
1271,BLEND American IPA 168 08 BS,Beer,BLEND,American IPA
1272,BLEND American IPA 168 09 BS,Beer,BLEND,American IPA
1273,BLEND American IPA 168 10 BS,Beer,BLEND,American IPA
1274,BLEND American IPA 168 11 BS,Beer,BLEND,American IPA
1275,BLEND American IPA 168 12 BS,Beer,BLEND,American IPA
1276,WLP010 Porter 172 01 BS,Beer,WLP010,Porter
1277,WLP010 Porter 172 03 BS,Beer,WLP010,Porter
1278,WLP860 Kolsch 173 01 BS,Beer,WLP860,Kolsch
1279,WLP830 Kolsch 173 02 BS,Beer,WLP830,Kolsch
1280,WLP029 Kolsch 173 03 BS,Beer,WLP029,Kolsch
1281,WLP009 Kolsch 173 04 BS,Beer,WLP009,Kolsch
1282,WLP017 English Brown 175 01 BS,Beer,WLP017,English Brown
1283,WLP023 Other 178 03 BS,Beer,WLP023,Other
1284,WLP028 Other 178 04 BS,Beer,WLP028,Other
1285,WLP500 Dubbel 179 01 BS,Beer,WLP500,Dubbel
1286,WLP500 Dubbel 179 03 BS,Beer,WLP500,Dubbel
1287,WLP530 Dubbel 179 05 BS,Beer,WLP530,Dubbel
1288,BLEND Dubbel 179 09 BS,Beer,BLEND,Dubbel
1289,WLP530 Dubbel 179 10 BS,Beer,WLP530,Dubbel
1290,BLEND Dubbel 179 11 BS,Beer,BLEND,Dubbel
1291,WLP001 Am. Amber 181 06 BS,Beer,WLP001,Am. Amber
1292,WLP013 Am. Amber 181 07 BS,Beer,WLP013,Am. Amber
1293,WLP051 Am. Amber 181 08 BS,Beer,WLP051,Am. Amber
1294,BLEND Stout 182 01 BS,Beer,BLEND,Stout
1295,BLEND Stout 182 02 BS,Beer,BLEND,Stout
1296,BLEND Stout 182 03 BS,Beer,BLEND,Stout
1297,BLEND Stout 182 04 BS,Beer,BLEND,Stout
1298,BLEND Stout 182 05 BS,Beer,BLEND,Stout
1299,BLEND Stout 182 06 BS,Beer,BLEND,Stout
1300,BLEND Stout 182 07 BS,Beer,BLEND,Stout
1301,WLP070 Other 183 01 BS,Beer,WLP070,Other
1302,WLP070 Other 183 02 BS,Beer,WLP070,Other
1303,WLP070 Other 183 03 BS,Beer,WLP070,Other
1304,WLP070 Other 183 04 BS,Beer,WLP070,Other
1305,WLP550 Other 183 05 BS,Beer,WLP550,Other
1306,WLP019 California Common 184 01 BS,Beer,WLP019,California Common
1307,WLP780 California Common 184 02 BS,Beer,WLP780,California Common
1308,WLP7245 California Common 184 03 BS,Beer,WLP7245,California Common
1309,WLP052 California Common 184 04 BS,Beer,WLP052,California Common
1310,WLP040 California Common 184 05 BS,Beer,WLP040,California Common
1311,WLP029 Dubbel 184 07 BS,Beer,WLP029,Dubbel
1312,WLP802 California Common 184 08 BS,Beer,WLP802,California Common
1313,WLP017 Dubbel 184 10 BS,Beer,WLP017,Dubbel
1314,WLP802 Dubbel 184 11 BS,Beer,WLP802,Dubbel
1315,WLP810 California Common 184 12 BS,Beer,WLP810,California Common
1316,BLEND Belgian Blonde 185 01 BS,Beer,BLEND,Belgian Blonde
1317,BLEND Belgian IPA 185 01 BS,Beer,BLEND,Belgian IPA
1318,WLP566 Belgian IPA 185 02 NA,Beer,WLP566,Belgian IPA
1319,WLP566 Belgian IPA 185 02 BS,Beer,WLP566,Belgian IPA
1320,WLP530 Belgian IPA 185 03 BS,Beer,WLP530,Belgian IPA
1321,BLEND Belgian IPA 185 04 BS,Beer,BLEND,Belgian IPA
1322,WLP510 Belgian IPA 185 04 BS,Beer,WLP510,Belgian IPA
1323,WLP570 Belgian IPA 185 04 BS,Beer,WLP570,Belgian IPA
1324,BLEND Other 186 05 BS,Beer,BLEND,Other
1325,WLP075 American IPA 186 09 BS,Beer,WLP075,American IPA
1326,WLP300 Dunkel 187 01 BS,Beer,WLP300,Dunkel
1327,WLP351 Dunkel 187 02 BS,Beer,WLP351,Dunkel
1328,WLP380 Dunkel 187 03 BS,Beer,WLP380,Dunkel
1329,WLP410 Dunkel 187 04 BS,Beer,WLP410,Dunkel
1330,WLP001 Other 188 01 BS,Beer,WLP001,Other
1331,WLP004 Other 188 02 BS,Beer,WLP004,Other
1332,WLP007 Other 188 03 BS,Beer,WLP007,Other
1333,WLP005 Other 188 04 BS,Beer,WLP005,Other
1334,WLP001 Other 188 05 BS,Beer,WLP001,Other
1335,WLP004 Other 188 06 BS,Beer,WLP004,Other
1336,WLP005 Other 188 07 BS,Beer,WLP005,Other
1337,WLP007 English Style IPA 188 08 BS,Beer,WLP007,English Style IPA
1338,WLP001 Other 188 09 BS,Beer,WLP001,Other
1339,WLP005 Other 188 10 BS,Beer,WLP005,Other
1340,WLP007 Other 188 11 BS,Beer,WLP007,Other
1341,0 Other 188 12 BS,Beer,,Other
1342,WLP380 Hefeweizen 189 01 BS,Beer,WLP380,Hefeweizen
1343,WLP380 Hefeweizen 189 02 BS,Beer,WLP380,Hefeweizen
1344,WLP380 Hefeweizen 189 03 BS,Beer,WLP380,Hefeweizen
1345,WLP351 Hefeweizen 189 04 BS,Beer,WLP351,Hefeweizen
1346,WLP351 Hefeweizen 189 05 BS,Beer,WLP351,Hefeweizen
1347,WLP351 Hefeweizen 189 06 BS,Beer,WLP351,Hefeweizen
1348,WLP300 Hefeweizen 189 07 BS,Beer,WLP300,Hefeweizen
1349,WLP320 Hefeweizen 189 08 BS,Beer,WLP320,Hefeweizen
1350,WLP029 Cream Ale 190 01 BS,Beer,WLP029,Cream Ale
1351,WLP810 Cream Ale 190 02 BS,Beer,WLP810,Cream Ale
1352,WLP830 Cream Ale 190 03 BS,Beer,WLP830,Cream Ale
1353,WLP036 Cream Ale 190 04 BS,Beer,WLP036,Cream Ale
1354,WLP029 Cream Ale 190 05 BS,Beer,WLP029,Cream Ale
1355,WLP810 Cream Ale 190 06 BS,Beer,WLP810,Cream Ale
1356,WLP830 Cream Ale 190 07 BS,Beer,WLP830,Cream Ale
1357,WLP036 Cream Ale 190 08 BS,Beer,WLP036,Cream Ale
1358,WLP029 Cream Ale 190 09 BS,Beer,WLP029,Cream Ale
1359,WLP810 Cream Ale 190 10 BS,Beer,WLP810,Cream Ale
1360,WLP830 Cream Ale 190 11 BS,Beer,WLP830,Cream Ale
1361,WLP036 Cream Ale 190 12 BS,Beer,WLP036,Cream Ale
1362,WLP064 Other 191 01 BS,Beer,WLP064,Other
1363,WLP064 American Pale Ale 191 03 BS,Beer,WLP064,American Pale Ale
1364,WLP064 American Pale Ale 191 08 BS,Beer,WLP064,American Pale Ale
1365,WLP076 Ale 192 01 BS,Beer,WLP076,Ale
1366,WLP001 Ale 192 02 BS,Beer,WLP001,Ale
1367,WLP001 Other 192 02 BS,Beer,WLP001,Other
1368,WLP013 Other 192 03 BS,Beer,WLP013,Other
1369,WLP013 Other 192 04 BS,Beer,WLP013,Other
1370,WLP013 Ale 192 04 BS,Beer,WLP013,Ale
1371,WLP029 Other 192 05 BS,Beer,WLP029,Other
1372,WLP029 Other 192 06 BS,Beer,WLP029,Other
1373,WLP001 American IPA 193 01 BS,Beer,WLP001,American IPA
1374,WLP005 American IPA 193 02 BS,Beer,WLP005,American IPA
1375,WLP008 American IPA 193 03 BS,Beer,WLP008,American IPA
1376,WLP051 American IPA 193 04 BS,Beer,WLP051,American IPA
1377,WLP001 American IPA 193 05 BS,Beer,WLP001,American IPA
1378,WLP005 American IPA 193 06 BS,Beer,WLP005,American IPA
1379,WLP008 American IPA 193 07 BS,Beer,WLP008,American IPA
1380,WLP051 American IPA 193 08 BS,Beer,WLP051,American IPA
1381,WLP001 American IPA 193 09 BS,Beer,WLP001,American IPA
1382,WLP005 American IPA 193 10 BS,Beer,WLP005,American IPA
1383,WLP008 American IPA 193 11 BS,Beer,WLP008,American IPA
1384,WLP002 Am. Red 194 01 BS,Beer,WLP002,Am. Red
1385,WLP004 Am. Red 194 02 BS,Beer,WLP004,Am. Red
1386,WLP013 Am. Red 194 03 BS,Beer,WLP013,Am. Red
1387,WLP023 Am. Red 194 04 BS,Beer,WLP023,Am. Red
1388,WLP002 Am. Amber 194 05 BS,Beer,WLP002,Am. Amber
1389,WLP002 Am. Red 194 05 BS,Beer,WLP002,Am. Red
1390,WLP004 Am. Red 194 06 BS,Beer,WLP004,Am. Red
1391,WLP013 Am. Red 194 07 BS,Beer,WLP013,Am. Red
1392,WLP023 Am. Red 194 08 BS,Beer,WLP023,Am. Red
1393,WLP002 Am. Red 194 09 BS,Beer,WLP002,Am. Red
1394,WLP004 Am. Red 194 10 BS,Beer,WLP004,Am. Red
1395,WLP010 Porter 195 01 BS,Beer,WLP010,Porter
1396,WLP010 Porter 195 02 BS,Beer,WLP010,Porter
1397,WLP010 Porter 195 03 BS,Beer,WLP010,Porter
1398,WLP010 Porter 195 04 BS,Beer,WLP010,Porter
1399,BLEND American IPA 196 01 BS,Beer,BLEND,American IPA
1400,BLEND American IPA 196 02 BS,Beer,BLEND,American IPA
1401,WLP075 American IPA 196 03 BS,Beer,WLP075,American IPA
1402,WLP075 American IPA 196 04 BS,Beer,WLP075,American IPA
1403,WLP001 Oatmeal Stout 197 01 BS,Beer,WLP001,Oatmeal Stout
1404,WLP001 Oatmeal Stout 197 02 BS,Beer,WLP001,Oatmeal Stout
1405,WLP001 Oatmeal Stout 197 03 BS,Beer,WLP001,Oatmeal Stout
1406,WLP001 Oatmeal Stout 197 04 BS,Beer,WLP001,Oatmeal Stout
1407,WLP001 Oatmeal Stout 197 05 BS,Beer,WLP001,Oatmeal Stout
1408,WLP001 Oatmeal Stout 197 06 BS,Beer,WLP001,Oatmeal Stout
1409,WLP028 Oatmeal Stout 197 07 BS,Beer,WLP028,Oatmeal Stout
1410,WLP090 Oatmeal Stout 197 08 BS,Beer,WLP090,Oatmeal Stout
1411,WLP001 Irish Red Ale 198 01 BS,Beer,WLP001,Irish Red Ale
1412,WLP072 Irish Red Ale 198 02 BS,Beer,WLP072,Irish Red Ale
1413,WLP810 Irish Red Ale 198 03 BS,Beer,WLP810,Irish Red Ale
1414,BLEND Irish Red Ale 198 04 BS,Beer,BLEND,Irish Red Ale
1415,WLP655 Irish Red Ale 198 05 BS,Beer,WLP655,Irish Red Ale
1416,WLP564 Saison 199 01 BS,Beer,WLP564,Saison
1417,WLP564 Saison 199 02 BS,Beer,WLP564,Saison
1418,WLP564 Saison 199 03 BS,Beer,WLP564,Saison
1419,WLP564 Saison 199 04 BS,Beer,WLP564,Saison
1420,WLP564 Saison 199 05 BS,Beer,WLP564,Saison
1421,WLP564 Saison 199 06 NA,Beer,WLP564,Saison
1422,WLP564 Saison 199 06 BS,Beer,WLP564,Saison
1423,WLP036 Dusseldorf Alt 200 01 BS,Beer,WLP036,Dusseldorf Alt
1424,WLP036 Dusseldorf Alt 200 01 BS,Analysis,WLP036,Dusseldorf Alt
1425,WLP830 Other 200 02 BS,Beer,WLP830,Other
1426,WLP036 Other 200 03 BS,Beer,WLP036,Other
1427,WLP029 Other 200 04 BS,Beer,WLP029,Other
1428,WLP830 Other 200 05 BS,Beer,WLP830,Other
1429,WLP800 Dusseldorf Alt 200 06 BS,Beer,WLP800,Dusseldorf Alt
1430,WLP036 Dusseldorf Alt 200 07 BS,Beer,WLP036,Dusseldorf Alt
1431,WLP830 Dusseldorf Alt 200 08 BS,Beer,WLP830,Dusseldorf Alt
1432,WLP800 Dusseldorf Alt 200 09 BS,Beer,WLP800,Dusseldorf Alt
1433,WLP029 Other 200 10 BS,Beer,WLP029,Other
1434,WLP300 Witbier 201 02 BS,Beer,WLP300,Witbier
1435,WLP320 Witbier 201 03 BS,Beer,WLP320,Witbier
1436,WLP380 Witbier 201 04 BS,Beer,WLP380,Witbier
1437,WLP630 Witbier 201 05 BS,Beer,WLP630,Witbier
